"Wash.number","Average","Median","SD","Forthesis"
"1","W000",7.94,7,3.5,"7.94 Â± 3.5"
"2","W001",19.62,19,6.57,"19.62 Â± 6.57"
"3","W002",18.43,17,5.61,"18.43 Â± 5.61"
"4","W003",19.53,19,6.25,"19.53 Â± 6.25"
"5","W004",24.3,24,6.44,"24.3 Â± 6.44"
"6","W005",18.17,17,5.75,"18.17 Â± 5.75"
"7","W006",17.08,17,5.36,"17.08 Â± 5.36"
"8","W007",12.9,13,5.5,"12.9 Â± 5.5"
"9","W008",4.53,4,2.42,"4.53 Â± 2.42"
"10","W009",9.3,7.5,5.74,"9.3 Â± 5.74"
"11","W010",6.4,7,2.88,"6.4 Â± 2.88"
"12","W011",5.82,6,3,"5.82 Â± 3"
"13","W012",6.17,5.5,3.73,"6.17 Â± 3.73"
"14","W013",4.77,4,2.49,"4.77 Â± 2.49"
"15","W014",5.27,5,3.96,"5.27 Â± 3.96"
"16","W015",4.3,4.5,2.05,"4.3 Â± 2.05"
"17","W016",3.5,3,2.67,"3.5 Â± 2.67"
"18","W017",4.67,4.5,2.32,"4.67 Â± 2.32"
"19","W018",1.6,1,2.22,"1.6 Â± 2.22"
"20","W019",2.77,3,2.56,"2.77 Â± 2.56"
"21","W020",3.9,3.5,1.66,"3.9 Â± 1.66"
"22","W021",2.14,2,1.95,"2.14 Â± 1.95"
"23","W022",3.6,3.5,1.96,"3.6 Â± 1.96"
"24","W023",1.63,2,1.73,"1.63 Â± 1.73"
"25","W024",1.2,1,1.03,"1.2 Â± 1.03"
"26","W025",1.6,1,1.22,"1.6 Â± 1.22"
"27","W026",1.15,1,1.63,"1.15 Â± 1.63"
"28","W027",1.7,1,1.58,"1.7 Â± 1.58"
"29","W028",1.3,1.5,1.06,"1.3 Â± 1.06"
"30","W029",1.73,2,1.48,"1.73 Â± 1.48"
"31","W030",0.8,0.5,1.23,"0.8 Â± 1.23"
"32","W031",2.32,2,2.3,"2.32 Â± 2.3"
"33","W032",0,0,0.67,"0 Â± 0.67"
"34","W033",1.33,1,1.6,"1.33 Â± 1.6"
"35","W034",0.6,0,1.84,"0.6 Â± 1.84"
"36","W035",1.03,1,1.35,"1.03 Â± 1.35"
"37","W036",1.55,1,2.48,"1.55 Â± 2.48"
"38","W037",0.73,0,1.01,"0.73 Â± 1.01"
"39","W038",0.9,1,1.52,"0.9 Â± 1.52"
"40","W039",0.93,1,1.08,"0.93 Â± 1.08"
"41","W040",1.1,0,2.47,"1.1 Â± 2.47"
"42","W041",0.48,0,0.95,"0.48 Â± 0.95"
"43","W042",-0.1,0,0.32,"-0.1 Â± 0.32"
"44","W043",0.67,1,0.84,"0.67 Â± 0.84"
"45","W044",0.6,0.5,1.07,"0.6 Â± 1.07"
"46","W045",0.7,1,0.92,"0.7 Â± 0.92"
"47","W046",0.85,1,0.81,"0.85 Â± 0.81"
"48","W047",0.87,0,1.28,"0.87 Â± 1.28"
"49","W048",0.8,0.5,1.03,"0.8 Â± 1.03"
"50","W049",0.1,0,0.66,"0.1 Â± 0.66"
"51","W050",0.3,0,0.67,"0.3 Â± 0.67"
"52","W051",0.2,0,0.81,"0.2 Â± 0.81"
